image_name,BoxesString
006062_1.png,29 89 41 100
008690_1.png,3 27 17 40
007436_1.png,80 67 91 80
000458_1.png,98 38 110 51
001065_1.png,49 30 71 52
001471_1.png,17 14 29 27
001277_1.png,78 24 91 38
003989_1.png,69 43 86 56
004684_1.png,109 107 119 117
006999_1.png,27 37 38 49
001664_1.png,104 65 117 78
007203_1.png,21 50 42 68
009982_1.png,7 26 25 42;117 30 128 46;32 75 44 87
005924_1.png,88 20 100 31
008935_1.png,113 113 123 123
000349_1.png,65 2 80 18
003807_1.png,74 4 88 16
007443_1.png,29 16 48 30
005336_1.png,111 4 125 16
005834_1.png,81 50 92 61
007350_1.png,91 5 107 20
007368_1.png,22 113 33 123
009545_1.png,113 29 123 39
005575_1.png,110 63 122 74
001964_1.png,76 76 94 93
006607_1.png,65 76 79 90
007498_1.png,46 63 61 79
008397_1.png,51 57 63 70
002515_1.png,61 37 77 53
007172_1.png,77 71 91 82
002475_1.png,100 87 112 103
009240_1.png,22 77 33 88
004696_1.png,82 94 98 110
007050_1.png,110 63 126 79
000588_1.png,55 9 72 26
008074_1.png,25 93 42 111
002637_1.png,31 112 45 124
006073_1.png,69 60 79 70
006546_1.png,88 19 103 31
002109_1.png,38 14 53 28
003142_1.png,16 80 31 95
004857_1.png,79 37 96 55
006693_1.png,86 90 106 109
003564_1.png,112 49 124 61
006752_1.png,109 97 127 111
004299_1.png,3 82 17 97
005468_1.png,93 85 110 99
002880_1.png,110 104 126 123
006083_1.png,16 79 29 95
000993_1.png,69 70 80 80
007994_1.png,112 103 124 114
007808_1.png,56 93 73 107
009605_1.png,94 15 104 25
009705_1.png,33 68 45 78
002356_1.png,40 110 58 125
007920_1.png,61 23 77 39
002720_1.png,6 93 22 106
009766_1.png,49 89 63 106
004423_1.png,60 93 77 110
002420_1.png,57 62 78 82
001050_1.png,72 7 86 19
009923_1.png,117 55 127 67;27 75 37 85;62 105 72 115
004705_1.png,94 61 106 71
009255_1.png,95 39 110 54
001189_1.png,13 111 30 125
005086_1.png,52 85 62 95
005032_1.png,66 107 85 122
005472_1.png,8 105 22 120
006629_1.png,58 21 68 32
009123_1.png,68 37 80 50
005622_1.png,42 34 56 49
008577_1.png,80 101 91 113
008812_1.png,48 3 69 23
007950_1.png,5 8 15 18
006786_1.png,67 86 77 96
003304_1.png,59 11 73 25
008656_1.png,42 25 53 36
003486_1.png,53 10 68 25
001461_1.png,7 11 20 23
002215_1.png,11 55 23 67
006777_1.png,109 2 127 18
006205_1.png,35 93 49 106
000816_1.png,111 3 125 17
005647_1.png,48 35 60 47
004871_1.png,46 1 65 19
006800_1.png,113 24 123 34
004665_1.png,67 51 78 62
001782_1.png,53 22 72 40
003216_1.png,104 100 123 116
000081_1.png,9 94 25 108
007554_1.png,18 1 33 19
004369_1.png,107 10 117 20
003448_1.png,63 101 73 112
007700_1.png,20 17 35 31
002181_1.png,104 35 120 50
000777_1.png,83 111 98 126
009149_1.png,86 69 97 81
008240_1.png,12 1 27 19
003509_1.png,35 112 48 124
008130_1.png,86 2 102 18
000556_1.png,86 110 98 122
007704_1.png,112 50 124 64
008372_1.png,11 66 24 79
002846_1.png,88 14 108 36
001726_1.png,2 3 18 20
006648_1.png,89 77 101 89
002988_1.png,111 104 125 118
005654_1.png,50 112 62 124
007778_1.png,47 58 63 73
006810_1.png,108 33 128 52
000921_1.png,91 100 106 115
002303_1.png,70 90 85 105
003523_1.png,24 4 38 20
008964_1.png,53 109 66 120
001978_1.png,113 5 123 15
005131_1.png,106 91 117 103
008037_1.png,27 50 37 60
005043_1.png,82 60 93 71
005995_1.png,23 38 41 57
007736_1.png,10 54 21 64
009746_1.png,57 4 69 16
007581_1.png,83 6 100 21
002758_1.png,77 102 94 119
007031_1.png,39 27 49 38
006611_1.png,10 2 26 18
007282_1.png,95 79 115 96
003355_1.png,15 96 36 112
007187_1.png,68 60 78 71
004279_1.png,75 65 87 77
005481_1.png,53 55 64 66
006548_1.png,3 73 17 88
006418_1.png,64 104 75 115
009662_1.png,3 8 18 21
006557_1.png,109 15 122 27
004436_1.png,108 92 119 103
005276_1.png,43 69 55 81
008997_1.png,76 13 87 23
009526_1.png,97 35 108 46
006332_1.png,85 51 99 69
000089_1.png,101 48 112 59
003720_1.png,81 59 96 71
008073_1.png,57 9 78 29
006248_1.png,93 13 109 33
000206_1.png,21 91 34 105
004825_1.png,100 111 117 125
003413_1.png,107 42 118 55
002937_1.png,97 64 114 77
006361_1.png,45 101 56 113
000666_1.png,4 38 16 49
007225_1.png,5 96 19 111
001232_1.png,4 60 17 73
007386_1.png,59 86 70 96
007523_1.png,107 47 120 59
005275_1.png,2 93 18 110
001417_1.png,67 79 78 90
003389_1.png,53 62 68 80
002382_1.png,34 53 55 70
001953_1.png,96 95 106 105
003968_1.png,90 82 102 97
001228_1.png,33 48 45 60
005841_1.png,19 72 33 84
006236_1.png,46 63 57 73
003248_1.png,16 66 28 78
008400_1.png,2 26 18 43
005179_1.png,5 94 15 105
005382_1.png,98 42 117 61
007828_1.png,9 42 22 53
005372_1.png,3 60 17 74
001249_1.png,84 29 96 41
002783_1.png,30 63 44 79
006097_1.png,14 30 29 44
000417_1.png,66 3 81 17
007957_1.png,5 4 17 16
005943_1.png,24 97 36 109
004851_1.png,4 86 16 99
008899_1.png,55 109 74 127
008248_1.png,71 1 86 19
006591_1.png,11 95 22 106
007798_1.png,26 50 39 62
002773_1.png,19 44 30 56
006535_1.png,96 32 112 52
007173_1.png,56 21 67 32
006072_1.png,10 68 23 82
000042_1.png,25 19 39 32
006948_1.png,26 12 36 22
009152_1.png,2 0 18 21
002259_1.png,91 11 105 24
005722_1.png,5 88 15 99
007899_1.png,17 21 31 36
002430_1.png,101 64 115 76
003113_1.png,6 60 26 81
003465_1.png,40 5 60 24
006871_1.png,67 97 79 111
006776_1.png,93 110 104 122
007448_1.png,12 53 29 70
004261_1.png,79 53 94 67
002209_1.png,70 76 83 88
002546_1.png,81 68 100 83
006996_1.png,92 52 102 62
002890_1.png,31 3 43 16
009161_1.png,67 103 77 114
002531_1.png,33 40 44 52
001670_1.png,25 79 42 95
002726_1.png,75 30 95 50
009259_1.png,65 4 77 16
001470_1.png,66 111 79 125
004935_1.png,11 100 22 111
003634_1.png,86 52 96 62
006111_1.png,5 69 19 83
004589_1.png,64 101 85 117
001856_1.png,2 68 18 85
003569_1.png,18 2 36 18
003954_1.png,15 46 25 57
004545_1.png,104 3 120 17
007848_1.png,70 81 87 98
009660_1.png,91 2 104 18
007680_1.png,57 5 69 15
005908_1.png,86 98 100 114
001697_1.png,105 44 115 54
006135_1.png,27 91 42 106
000787_1.png,70 4 85 16
000922_1.png,32 28 48 45
009979_1.png,15 10 25 22;57 17 67 27;101 42 115 52
003521_1.png,82 30 94 42
006990_1.png,9 6 23 20
007420_1.png,11 62 28 79
006039_1.png,47 72 65 89
001407_1.png,1 66 19 83
008686_1.png,20 56 35 71
007175_1.png,0 108 20 128
003384_1.png,76 33 89 47
000660_1.png,25 22 41 38
000617_1.png,88 59 107 76
006523_1.png,4 12 16 25
005554_1.png,45 5 59 19
001549_1.png,52 74 73 92
007360_1.png,11 35 23 46
000179_1.png,52 9 64 20
007600_1.png,16 40 28 52
008004_1.png,21 8 35 22
003565_1.png,41 52 55 68
007875_1.png,50 48 67 68
006091_1.png,26 33 39 47
004765_1.png,14 57 29 70
003412_1.png,88 113 98 123
002794_1.png,109 86 124 101
004892_1.png,75 29 91 42
000839_1.png,71 93 83 105
001648_1.png,4 59 16 71
003037_1.png,87 89 100 102
003838_1.png,28 92 38 103
005595_1.png,2 99 18 114
006315_1.png,44 8 57 20
001600_1.png,113 82 123 93
000421_1.png,69 66 79 76
007096_1.png,22 40 37 55
004302_1.png,106 6 125 25
007605_1.png,110 57 121 70
001688_1.png,87 4 100 16
007451_1.png,30 83 42 95
000030_1.png,67 112 79 124
000554_1.png,4 7 16 23
006908_1.png,26 61 36 72
009569_1.png,86 4 97 16
006391_1.png,92 80 105 95
003127_1.png,64 29 79 44
002036_1.png,69 112 81 124
009207_1.png,113 61 123 72
002854_1.png,5 33 15 44
002539_1.png,110 4 126 16
006903_1.png,74 49 94 63
007557_1.png,46 111 63 125
004804_1.png,84 102 100 115
006681_1.png,16 87 26 98
002247_1.png,96 70 106 80
008334_1.png,57 25 71 40
006447_1.png,95 39 106 50
004067_1.png,56 107 72 127
008802_1.png,24 36 34 46
005975_1.png,80 104 95 116
007067_1.png,2 3 18 20
003379_1.png,75 5 85 15
000058_1.png,63 83 79 98
003428_1.png,38 93 55 111
001207_1.png,74 66 86 78
006352_1.png,105 91 120 108
000281_1.png,106 19 116 29
004042_1.png,32 66 47 79
003300_1.png,102 5 112 15
000720_1.png,92 3 110 17
002324_1.png,89 92 104 108
006160_1.png,32 5 42 15
009474_1.png,34 59 47 72
008182_1.png,111 26 125 44
005361_1.png,96 99 109 111
000394_1.png,23 93 34 104
009337_1.png,47 70 64 84
000483_1.png,84 110 101 126
008260_1.png,7 41 21 53
003041_1.png,75 12 85 22
003561_1.png,41 79 51 90
006954_1.png,13 3 27 17
004772_1.png,106 53 119 67
007538_1.png,5 41 15 51
006637_1.png,41 61 58 76
003001_1.png,14 6 31 23
004232_1.png,59 26 78 42
007954_1.png,57 55 69 67
001034_1.png,80 30 92 45
006743_1.png,31 53 43 64
004020_1.png,111 5 121 15
002932_1.png,84 79 96 91
009665_1.png,78 103 92 119
002692_1.png,12 47 25 60
008047_1.png,80 63 95 78
001833_1.png,113 67 123 77
005435_1.png,43 2 59 18
004168_1.png,54 23 65 33
002733_1.png,96 4 109 16
003543_1.png,91 96 106 110
006115_1.png,85 26 99 40
003789_1.png,10 110 25 126
001633_1.png,21 49 34 65
007571_1.png,5 72 15 82
002081_1.png,95 4 109 16
005545_1.png,29 50 40 60
007648_1.png,19 8 33 24
008362_1.png,81 76 95 91
006957_1.png,113 24 123 34
009561_1.png,34 52 46 65
005097_1.png,13 36 25 48
007636_1.png,108 93 118 103
005861_1.png,5 107 15 117
008364_1.png,20 94 39 113
004625_1.png,56 76 72 93
005759_1.png,100 111 115 125
009855_1.png,37 62 53 79
004294_1.png,89 93 100 103
001415_1.png,109 32 122 45
002641_1.png,70 112 81 124
000067_1.png,88 97 103 116
006894_1.png,24 31 35 43
000431_1.png,87 37 102 51
001068_1.png,30 65 47 82
008390_1.png,113 43 123 53
007022_1.png,87 31 101 43
005820_1.png,112 66 124 79
003704_1.png,62 107 81 127
004474_1.png,104 83 120 99
008482_1.png,6 111 21 125
007513_1.png,25 7 37 20
004951_1.png,101 3 121 24
003313_1.png,56 111 69 125
007967_1.png,75 54 88 68
008487_1.png,66 8 81 21
006842_1.png,59 79 71 91
007412_1.png,32 71 43 81
004866_1.png,85 45 96 56
006442_1.png,109 102 127 116
006176_1.png,5 58 15 69
000363_1.png,65 29 75 40
004177_1.png,83 9 95 20
008551_1.png,78 8 92 24
001995_1.png,112 55 124 67
006785_1.png,64 91 79 106
009936_1.png,43 0 55 7;15 15 33 27;0 74 12 84
002510_1.png,93 74 108 90
009527_1.png,79 112 92 124
000713_1.png,91 35 102 46
005477_1.png,32 106 45 120
004760_1.png,4 17 21 35
006904_1.png,12 91 26 107
001901_1.png,43 46 57 60
005930_1.png,111 107 125 123
002865_1.png,44 46 61 61
001419_1.png,86 10 97 22
005604_1.png,75 92 85 102
007383_1.png,74 36 84 46
006028_1.png,23 28 41 44
000551_1.png,108 55 128 76
009840_1.png,64 4 76 16
005106_1.png,67 30 82 45
006731_1.png,43 112 53 124
008005_1.png,68 83 78 93
006302_1.png,58 96 75 113
005078_1.png,109 32 126 47
002117_1.png,5 16 15 28
000128_1.png,9 45 24 57
001274_1.png,81 105 91 116
005917_1.png,104 75 114 85
008867_1.png,113 4 123 16
004071_1.png,110 15 124 31
005689_1.png,111 46 125 64
008459_1.png,94 70 108 86
005559_1.png,52 38 71 54
007369_1.png,9 78 19 88
004679_1.png,110 86 123 102
007714_1.png,51 7 67 21
002605_1.png,3 76 17 91
005380_1.png,14 112 26 124
003394_1.png,3 22 17 34
009799_1.png,56 13 70 26
007876_1.png,8 4 21 16
005091_1.png,64 55 83 73
002652_1.png,43 77 54 89
007002_1.png,1 18 19 33
008961_1.png,93 19 104 30
001509_1.png,22 103 35 114
009214_1.png,110 55 126 75
006709_1.png,4 30 16 41
005964_1.png,19 78 40 95
004761_1.png,40 13 59 29
004078_1.png,9 3 21 17
004901_1.png,30 22 46 39
002483_1.png,10 26 22 39
007348_1.png,40 6 58 23
001205_1.png,98 88 113 104
009653_1.png,92 33 109 49
008797_1.png,40 7 50 19
002291_1.png,75 6 90 18
001332_1.png,93 32 104 43
008536_1.png,110 108 126 123
006354_1.png,49 57 71 76
009713_1.png,73 109 89 127
005889_1.png,112 102 124 114
002864_1.png,2 28 18 46
005681_1.png,18 13 28 23
003483_1.png,65 5 76 15
000078_1.png,61 14 73 25
009338_1.png,78 4 92 19
005404_1.png,60 47 73 62
004618_1.png,111 47 125 63
000151_1.png,29 1 46 19
009809_1.png,2 22 18 38
004710_1.png,21 32 32 43
001746_1.png,4 79 16 92
003737_1.png,3 106 17 121
007884_1.png,107 35 128 51
004288_1.png,32 89 48 109
002370_1.png,90 44 105 62
001075_1.png,94 60 113 80
007164_1.png,28 64 42 79
000626_1.png,87 93 102 109
002765_1.png,8 5 18 15
007247_1.png,112 51 124 63
006232_1.png,84 56 98 70
003714_1.png,94 56 107 71
004384_1.png,23 35 38 49
001445_1.png,5 87 15 97
002715_1.png,24 65 37 78
000481_1.png,47 103 60 117
003443_1.png,112 10 124 22
004056_1.png,81 75 97 90
004854_1.png,111 28 122 40
005851_1.png,36 108 52 128
007528_1.png,69 84 84 97
003430_1.png,55 2 71 18
006221_1.png,5 87 22 102
001619_1.png,90 67 103 80
007536_1.png,53 59 63 69
004339_1.png,42 111 55 125
006110_1.png,97 53 111 68
009776_1.png,25 5 39 19
